Summary,Precondition,Priority,Test Step,Test Data,Expected Result
Infinite scroll loads more posts,User logged in; News Feed has content.,High,Log in → Scroll to bottom of News Feed → Observe if more posts load,N/A,New batch of posts loads seamlessly. Spinner appears briefly during fetch.
Like a post,User logged in; post visible in feed.,High,Find any post in feed → Click the 👍 Like button,N/A,Like button turns blue. Like count increments by 1. Persists on refresh.
React to a post with emoji reaction,User logged in; post visible in feed.,Medium,Hover over Like button → Select 'Love' reaction,Reaction: Love ❤️,Love reaction applied. Counter updates. Button shows ❤️ icon.
Comment on a post,User logged in; post visible in feed.,High,Click 'Comment' on a post → Type a comment → Press Enter,Comment: 'Great post! 😊',Comment appears below post immediately with user name and avatar.
Share a post to timeline,User logged in; shareable post visible.,High,Click 'Share' → Select 'Share to your timeline' → Add message → Click Post,Share message: 'Sharing this interesting article',Post appears on user timeline. Share count on original increments.
Hide a post from feed,User logged in; post visible in feed.,Medium,Click ··· (More) on any post → Select 'Hide post',N/A,Post disappears from feed. Undo snackbar appears briefly.
Report a post,User logged in; any post visible.,High,Click ··· on post → Select 'Report post' → Choose reason → Submit,Reason: 'Hate speech',Confirmation: 'Thanks for letting us know'. Report submitted.
Create a text-only post,User logged in.,High,Click 'What's on your mind?' box → Type text → Click Post,Post text: 'Testing Facebook post creation ✅',Post appears on timeline and in friends feeds. Timestamp shown.
Create a post with photo upload,"User logged in; image file available (<25MB, JPEG).",High,Open post composer → Click Photo/Video icon → Select image file → Add caption → Click Post,"File: test_image.jpg (2MB, 1920×1080)",Post published with image. Image renders correctly in feed.
Create a post with video upload,User logged in; MP4 file <4GB available.,High,Open post composer → Click Photo/Video → Select video → Add caption → Click Post,"File: test_video.mp4 (50MB, 1080p, 60s)",Video uploaded and post published. Video plays inline in feed with controls.
Post privacy set to Friends only,User logged in.,High,Open post composer → Click audience selector → Select 'Friends' → Type post → Click Post,Privacy: Friends | Post: 'This is a friends-only post',Post published. Audience icon shows 👥 Friends.
Post with location tag,User logged in; location permission granted.,Medium,"Open post composer → Click 📍 Check in → Search 'Dhaka, Bangladesh' → Select → Click Post","Location: Dhaka, Bangladesh",Post includes location tag. Clicking location opens map view.
Tag a friend in a post,User logged in; has at least one friend.,Medium,Open post composer → Type '@' + friend name → Select from suggestion → Post,Tag: @TestFriend01,Friend tagged. Post shows their name as a link.
Edit a published post,User has an existing published post.,Medium,Go to own timeline → Find post → Click ··· → Edit post → Modify text → Save,Original: 'Hello world' → Edited: 'Hello Facebook!',Post updated with new text. 'Edited' label appears below post.
Delete a published post,User has an existing published post.,High,Go to own timeline → Find post → Click ··· → Move to Trash → Confirm Delete,N/A,Post removed from timeline and feed.
Update profile picture,User logged in.,High,Go to profile → Click current profile picture → Select 'Upload photo' → Choose image → Crop → Save,File: profile_pic.jpg (500KB),New profile picture saved. Thumbnail updated across all surfaces.
Update cover photo,User logged in.,Medium,Go to profile → Click cover photo area → Upload photo → Position → Save,"File: cover_photo.jpg (2MB, 1640×859)",Cover photo updated. Visible immediately on profile.
Update bio / intro,User logged in.,Medium,Go to profile → Click 'Edit profile' → Update bio → Save,Bio: 'QA Engineer | Testing the world one bug at a time 🐛',Bio saved and visible on profile.
Profile visibility — privacy settings,User logged in; second test account available.,High,Settings → Privacy → Who can see future posts → Change to 'Only me' → Verify from second account,Second account: viewer test session,Profile content hidden from other viewer per selected privacy setting.
Send friend request,Two test accounts exist; not currently friends.,High,Log in as User A → Search for User B → Open profile → Click 'Add Friend',User A: Test Account A | User B: Test Account B,Friend request sent. Button changes to 'Friend request sent'.
Accept friend request,Pending friend request exists.,High,Log in as User B → Go to Friend Requests → Click 'Confirm' next to User A,Pending request from Test Account A,Both users are now friends. Each appears in the other's friends list.
Decline friend request,Pending friend request exists.,Medium,Log in as User B → Friend Requests → Click 'Delete Request',Pending request from Test Account A,Request removed. No connection made. No notification sent to sender.
Unfriend a user,Two accounts are currently friends.,Medium,Go to friend's profile → Click 'Friends' button → Select 'Unfriend' → Confirm,N/A,Friend removed from friends list. No notification sent.
People You May Know suggestions,User logged in; has existing friends and profile data.,Medium,Go to Friends tab → Review 'People You May Know' section,N/A,At least 5 suggestions shown with 'Add Friend' button.
Send a text message via Messenger,Two accounts are friends; Messenger accessible.,High,Click Messenger icon → Open conversation → Type message → Press Enter,Message: 'Hello from QA testing! 👋',Message delivered. Seen receipt shown.
Send an image via Messenger,Two accounts are friends; image file available.,High,Open Messenger conversation → Click 📎 attachment → Select image → Send,File: chat_image.jpg (500KB),Image sent and displayed inline. Recipient can open full-size.
Message request from non-friend,Two accounts exist; they are NOT friends.,High,Log in as non-friend account → Open Messenger → Send message to test user,"Message: 'Hi, we haven't met'",Message goes to Message Requests. Not in main inbox.
Delete a Messenger conversation,User has at least one existing conversation.,Medium,Open Messenger → Click ··· on conversation → Select Delete → Confirm,N/A,Conversation removed from inbox. Other participant's copy unaffected.
Receive notification for post like,User has a public post; second account is a friend.,High,Log in as Account B → Like Account A's post → Log in as Account A → Check notification bell,Account B liked post,Notification: '[User] liked your photo.' appears in notification list.
Receive notification for comment,User has a post; second friend account available.,High,Account B comments on Account A's post → Account A checks notifications,Comment: 'Nice one!',Notification: '[User] commented on your post.' shown in bell dropdown.
Mark all notifications as read,User has unread notifications.,Medium,Click notification bell → Click '···' → Select 'Mark all as read',N/A,All notifications marked read. Badge count resets to 0.
Search for a person by name,User logged in; searched profile exists.,High,Click search bar → Type a person's name → Press Enter → Review results,Query: Test user full name,Results page shows matching profiles.
Search for a Facebook Page,User logged in.,High,Type 'NASA' in search bar → Press Enter → Click 'Pages' filter,Query: NASA,NASA's official Facebook Page appears in results with Follow button.
Search with empty query,User logged in.,Medium,Click search bar → Press Enter without typing anything,Query: (empty),No crash. Trending or recent searches shown as fallback.
Create a new Facebook Group,User logged in.,Medium,"Go to Groups → Click 'Create new group' → Enter name, privacy (Private) → Click Create",Group name: 'QA Testers Bangladesh' | Privacy: Private,Group created. User is admin. Group page loads with invite option.
Join a public group,User logged in; a public group exists.,Medium,Search for public group → Open group page → Click 'Join Group',"Group: public, open join",User joins immediately. Group posts appear in feed.
List an item on Marketplace,User logged in; image file available.,Medium,"Go to Marketplace → Click 'Create new listing' → Fill title, price, category, photo → Publish",Title: 'Mechanical Keyboard' | Price: 2500 BDT | Category: Electronics,Listing published and visible on Marketplace.
Mobile responsiveness — News Feed on iOS,Facebook app installed on iPhone; user logged in.,High,Open Facebook app on iPhone → Scroll News Feed → Like a post → Comment,"Device: iPhone 15, iOS 17.4","Feed loads, scrolls smoothly. All interactive elements are tappable."
Page load time — News Feed under 3 seconds,User logged in; 50Mbps connection.,High,Clear browser cache → Open facebook.com → Measure time until feed is interactive,Network: 50Mbps broadband | Browser: Chrome 124,News Feed is fully interactive within 3 seconds of navigation.
Logout clears session,User is logged in.,High,Click account menu → Click 'Log out' → Try to navigate to facebook.com/home,N/A,Redirected to login page. No cached authenticated content displayed.
Two-factor authentication (2FA) login,2FA enabled on account; authenticator app configured.,High,Enable 2FA in Security settings → Log out → Log in → Enter 6-digit code from authenticator,2FA code from authenticator app,Login requires and accepts the 2FA code. Access granted only after verification.
Accessibility — keyboard navigation on login page,Browser with no mouse interaction.,Medium,Navigate to facebook.com/login → Use Tab to move between fields → Use Enter to submit,Keyboard only navigation,"Email, Password, Forgot Password, Log In, Create Account — all reachable via Tab. Submit via Enter works."
